Unnamed: 0,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,GP,F,15,U,GT3,T,4,3,teacher,other,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,3,2,1,3,1,1.0,15,16,16
1,GP,M,15,U,GT3,T,4,4,other,services,course,mother,1,1,0,yes,no,no,yes,yes,yes,yes,no,4,3,4,1,4,3,4.0,12,13,14
2,GP,M,16,R,LE3,T,2,2,at_home,other,course,father,1,3,0,no,no,no,yes,yes,yes,no,yes,4,3,3,2,1,5,1.0,12,12,12
3,GP,M,17,U,GT3,T,4,4,other,services,course,father,1,1,0,no,no,no,yes,yes,yes,no,yes,3,3,5,2,4,5,2.0,16,17,18
4,MS,M,17,R,GT3,T,3,3,other,other,reputation,mother,1,2,1,no,no,no,no,yes,yes,yes,no,4,4,3,1,3,2,1.0,10,8,9
5,GP,F,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,4,2,1,4,5,2.0,12,10,11
6,GP,F,16,U,GT3,T,3,3,at_home,services,reputation,father,1,2,0,yes,no,no,no,yes,yes,no,no,5,4,3,1,3,3,3.0,15,15,15
7,GP,F,17,U,GT3,T,3,3,other,services,reputation,mother,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,4,2,1,1,0.0,14,15,16
8,GP,M,17,U,GT3,A,3,4,services,services,home,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4,4,3,2,4,1,6.0,11,11,12
9,GP,F,18,U,GT3,T,2,2,services,services,reputation,mother,1,3,0,yes,no,no,no,yes,yes,yes,no,3,4,3,5,1,5,6.0,17,18,18
10,GP,F,16,U,GT3,A,4,4,other,teacher,reputation,mother,1,1,0,yes,yes,no,yes,no,yes,yes,no,5,4,2,1,2,5,3.0,16,17,18
11,GP,F,15,U,GT3,T,1,1,at_home,services,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,3,1,2,3,6.0,10,11,11
12,GP,F,16,U,GT3,T,1,2,other,at_home,reputation,mother,2,1,0,yes,yes,no,yes,yes,yes,yes,yes,5,4,1,1,1,1,0.0,13,12,14
13,MS,M,18,U,GT3,A,3,3,services,teacher,course,mother,1,1,1,no,no,no,yes,yes,no,yes,yes,3,2,4,1,4,5,1.0,11,9,10
14,GP,F,15,U,GT3,T,3,2,other,services,home,mother,3,2,0,yes,no,no,no,no,yes,no,no,5,1,4,1,1,5,3.0,8,9,11
15,GP,F,17,U,GT3,A,1,1,at_home,other,reputation,father,1,1,0,yes,yes,no,no,no,yes,yes,no,5,4,1,3,2,2,2.0,14,14,16
16,GP,F,15,U,GT3,T,4,4,teacher,teacher,course,mother,1,3,0,yes,yes,no,no,yes,yes,yes,no,5,5,5,2,1,4,3.0,13,13,13
17,GP,F,15,U,GT3,T,1,1,other,other,course,mother,1,1,0,yes,no,no,yes,yes,yes,no,yes,4,4,3,1,1,5,2.0,10,8,9
18,MS,M,17,R,LE3,A,2,2,at_home,at_home,course,mother,2,1,0,no,yes,no,yes,yes,yes,yes,yes,4,5,5,1,1,5,1.0,7,6,8
19,GP,M,18,U,LE3,A,4,4,teacher,teacher,home,mother,2,2,0,yes,yes,no,yes,no,no,no,no,5,4,2,1,3,5,1.0,9,10,10
20,GP,F,17,U,LE3,T,2,2,services,services,home,father,1,1,0,yes,yes,no,yes,yes,yes,yes,yes,4,2,4,4,2,4,2.0,13,13,13
21,GP,F,18,U,GT3,T,2,1,at_home,other,course,father,1,2,0,yes,yes,no,yes,yes,yes,no,yes,5,2,3,5,3,1,4.0,11,10,10
22,GP,F,18,U,GT3,T,2,2,other,services,home,mother,1,1,0,yes,no,no,no,no,yes,yes,no,5,2,4,2,2,3,1.0,10,11,11
23,MS,M,18,U,GT3,T,3,1,services,other,other,mother,1,4,1,no,no,no,yes,yes,yes,yes,no,5,4,3,2,1,5,6.0,13,13,14
24,MS,M,15,U,LE3,T,2,2,other,other,other,mother,1,2,0,no,no,no,no,yes,yes,yes,no,3,3,2,1,5,1,2.0,12,13,13
25,GP,F,18,R,GT3,T,2,2,other,services,course,mother,2,2,0,yes,yes,no,yes,no,yes,yes,no,3,5,4,1,5,5,5.0,0,11,11
26,MS,F,17,U,GT3,T,4,4,teacher,teacher,other,mother,1,1,0,yes,no,no,no,no,yes,no,yes,4,1,2,2,1,5,1.0,13,13,14
27,MS,M,16,U,GT3,T,4,4,teacher,health,home,other,1,1,0,no,no,no,yes,yes,yes,yes,no,3,4,2,1,1,5,3.0,5,0,0
28,GP,M,18,U,GT3,T,1,1,at_home,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,yes,yes,4,5,4,1,3,1,1.0,11,12,12
29,GP,F,17,U,GT3,T,2,2,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,yes,no,4,5,4,1,1,5,10.0,13,13,10
30,MS,M,16,R,GT3,T,1,1,other,services,course,mother,3,4,2,no,yes,no,no,yes,yes,yes,yes,5,2,4,1,2,5,1.0,5,5,7
31,GP,F,16,U,GT3,T,1,2,at_home,services,home,mother,2,2,0,yes,yes,no,yes,yes,yes,yes,no,5,1,5,1,3,2,13.0,14,13,14
32,GP,F,15,U,GT3,T,4,4,teacher,other,reputation,mother,3,2,0,yes,yes,no,no,yes,yes,yes,no,4,5,3,2,5,5,8.0,12,11,11
33,MS,M,17,U,GT3,T,2,1,other,other,other,mother,1,3,0,no,yes,no,yes,yes,yes,no,yes,2,4,5,1,2,4,1.0,15,15,15
34,GP,F,15,R,GT3,T,1,4,at_home,services,reputation,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,5,3,3,1,1,4,1.0,11,12,14
35,MS,M,19,U,LE3,A,3,3,other,other,home,other,2,1,1,yes,no,no,yes,yes,no,no,no,4,2,3,2,3,1,0.0,9,9,10
36,MS,M,17,R,LE3,T,2,4,at_home,health,course,other,1,2,1,no,yes,no,yes,no,yes,yes,no,4,1,3,2,1,5,1.0,10,11,11
37,GP,F,16,U,GT3,T,3,1,other,other,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,5,4,4,1,5,4,5.0,14,15,15
38,GP,F,16,U,GT3,T,2,1,other,other,reputation,mother,1,2,0,yes,no,no,yes,yes,yes,no,no,4,4,5,1,1,3,3.0,7,8,8
39,GP,F,15,U,GT3,T,2,2,other,other,reputation,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,3,5,3,1,1,1,30.0,14,17,17
40,GP,F,18,R,GT3,T,3,2,other,other,home,father,1,2,0,yes,no,no,no,yes,yes,yes,no,4,5,2,1,1,5,8.0,10,10,11
41,GP,F,20,U,GT3,T,2,3,services,other,home,other,1,1,2,yes,yes,no,no,yes,yes,yes,yes,4,4,5,1,3,3,10.0,11,15,15
42,MS,F,15,R,GT3,T,3,1,at_home,other,home,father,3,1,0,yes,no,no,yes,yes,yes,yes,yes,4,4,3,1,1,2,5.0,11,9,0
43,GP,F,16,U,LE3,T,2,1,services,services,home,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,3,5,3,1,4,3,4.0,13,12,14
44,GP,M,15,U,LE3,T,2,1,at_home,other,reputation,mother,1,2,0,no,no,no,yes,yes,no,yes,yes,4,4,5,1,4,2,12.0,9,10,10
45,MS,F,18,U,GT3,T,1,1,other,other,course,mother,1,2,2,yes,yes,no,yes,yes,yes,yes,yes,5,3,3,1,4,3,1.0,8,8,0
46,GP,M,16,U,GT3,A,2,3,at_home,services,reputation,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,5,2,4,2,1,4,2.0,12,16,16
47,GP,M,17,U,GT3,T,1,1,other,other,home,mother,1,2,3,yes,no,no,no,yes,no,yes,no,4,2,2,2,4,5,1.0,11,11,11
48,GP,M,17,U,GT3,A,1,1,at_home,other,reputation,mother,3,4,1,no,no,no,no,yes,yes,yes,no,4,4,2,1,1,1,5.0,10,11,12
49,GP,M,15,U,GT3,T,4,4,teacher,at_home,reputation,father,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,4,4,1,5,4,3.0,15,15,16
50,GP,F,19,U,GT3,T,4,4,teacher,health,course,mother,1,1,0,yes,no,no,yes,yes,yes,yes,no,4,2,4,2,2,4,1.0,14,16,16
51,MS,F,16,U,LE3,T,2,3,services,at_home,course,mother,1,1,0,yes,yes,no,no,no,yes,yes,no,3,2,3,1,1,5,2.0,10,10,11
52,GP,F,16,R,GT3,T,4,1,health,other,course,mother,2,2,0,yes,yes,no,yes,yes,yes,no,yes,5,3,3,1,1,3,7.0,10,11,11
53,GP,F,17,U,GT3,T,4,4,health,services,reputation,mother,1,2,0,yes,yes,yes,no,no,yes,yes,yes,5,2,4,5,1,2,5.0,13,12,13
54,GP,F,16,U,LE3,T,1,2,other,other,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,yes,2,4,3,2,2,5,1.0,12,12,12
55,MS,M,16,U,LE3,T,4,3,other,other,other,mother,2,3,0,no,yes,no,no,yes,yes,no,no,5,3,5,1,2,5,5.0,7,8,9
56,MS,M,16,R,LE3,T,2,2,other,other,course,mother,2,2,0,no,yes,no,yes,yes,no,no,no,5,2,5,3,4,3,0.0,7,8,9
57,GP,M,18,U,LE3,T,2,2,at_home,other,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,4,5,5,1,1,3,1.0,12,13,14
58,GP,F,15,U,LE3,A,3,3,services,services,home,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,3,3,3,1,4,5,1.0,11,11,11
59,GP,M,16,R,GT3,T,2,1,other,other,reputation,father,2,2,0,no,yes,no,no,yes,yes,no,yes,4,3,3,1,5,3,1.0,7,8,5
60,GP,F,17,U,GT3,T,1,1,at_home,other,home,mother,2,4,0,yes,yes,no,no,yes,yes,yes,no,4,4,2,1,1,1,6.0,12,12,14
61,GP,F,17,R,LE3,T,1,2,at_home,services,reputation,father,1,2,0,yes,no,no,no,yes,yes,yes,no,4,5,3,1,2,5,1.0,12,11,13
62,MS,F,18,R,GT3,T,2,3,other,at_home,other,mother,3,3,0,yes,yes,no,yes,yes,yes,yes,yes,5,5,3,1,1,1,6.0,11,11,11
63,GP,F,17,U,GT3,T,3,2,services,other,home,father,1,2,0,yes,yes,no,no,yes,yes,yes,no,5,2,4,2,4,5,1.0,14,13,12
64,GP,F,17,U,GT3,T,0,1,other,other,home,father,1,1,0,yes,yes,no,no,yes,yes,no,no,4,3,3,3,1,3,1.0,12,12,12
65,GP,F,18,U,GT3,T,4,4,health,teacher,home,mother,1,1,0,yes,yes,no,no,yes,yes,yes,yes,4,4,3,2,1,5,1.0,14,15,16
66,GP,M,15,U,LE3,T,1,2,other,services,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,3,4,2,1,1,2,11.0,11,10,10
67,GP,M,19,U,GT3,T,1,1,other,other,reputation,mother,2,3,0,no,no,no,no,no,no,yes,yes,4,2,3,2,4,1,1.0,9,10,11
68,GP,M,15,U,GT3,T,2,2,other,other,reputation,mother,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,1,4,1,3,4,3.0,11,10,11
69,MS,F,18,R,GT3,T,4,3,teacher,other,course,mother,4,1,0,yes,yes,no,no,yes,no,yes,yes,5,4,3,1,1,3,4.0,10,12,13
70,GP,M,18,U,LE3,T,1,0,health,other,reputation,other,1,1,0,no,yes,no,yes,yes,no,yes,yes,4,4,3,3,3,3,2.0,9,8,8
71,GP,F,19,U,LE3,T,4,4,health,other,reputation,other,1,2,1,yes,no,no,no,yes,yes,no,yes,5,3,3,2,1,5,3.0,10,9,10
72,GP,M,16,U,GT3,T,0,2,at_home,services,course,father,1,1,0,no,no,no,yes,yes,yes,yes,yes,4,4,2,1,1,2,6.0,18,18,18
73,GP,F,18,U,LE3,A,3,3,services,other,reputation,father,2,2,0,yes,yes,no,yes,yes,yes,yes,yes,4,3,4,1,1,2,4.0,14,13,14
74,GP,M,15,U,GT3,T,4,4,services,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,5,1,9.0,16,16,16
75,GP,F,17,U,GT3,T,4,4,teacher,other,reputation,mother,2,3,0,yes,yes,yes,no,no,no,yes,no,5,3,4,1,3,1,3.0,11,11,12
