Unnamed: 0,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,GP,F,15,U,GT3,T,4,3,teacher,other,reputation,father,1,2,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,3,1,1.0,15,14,17
1,GP,M,15,U,GT3,T,4,4,other,services,course,mother,2,1,0,yes,no,no,yes,yes,yes,no,no,4,3,4,1,4,3,4.0,14,17,17
2,GP,M,16,R,GT3,T,2,2,at_home,other,course,mother,1,3,0,no,no,no,yes,yes,yes,no,yes,4,3,3,2,1,5,1.0,15,16,17
3,MS,M,17,R,GT3,A,4,4,other,services,reputation,mother,1,1,1,no,no,no,yes,yes,yes,yes,yes,3,3,5,2,4,5,2.0,8,8,0
4,GP,M,17,U,LE3,T,3,3,other,other,course,mother,2,2,0,no,no,no,no,yes,yes,yes,no,4,4,3,1,3,2,1.0,14,14,15
5,MS,F,18,U,GT3,A,4,4,teacher,teacher,home,mother,1,2,1,no,yes,no,yes,yes,yes,no,yes,5,4,2,1,4,5,2.0,9,11,10
6,MS,F,16,R,GT3,T,3,3,at_home,services,other,mother,2,2,0,no,no,no,no,yes,yes,yes,no,5,4,3,1,3,3,3.0,11,9,10
7,MS,F,16,U,GT3,T,3,3,other,services,course,mother,3,2,0,no,no,no,yes,yes,yes,yes,no,4,4,4,2,1,1,0.0,17,17,17
8,MS,M,17,R,GT3,T,3,4,services,services,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,4,4,3,2,4,1,6.0,10,9,9
9,GP,F,17,U,GT3,T,2,2,services,services,home,father,1,3,0,yes,no,no,no,yes,yes,yes,no,3,4,3,5,1,5,6.0,13,12,12
10,MS,F,18,U,GT3,A,4,4,other,teacher,other,other,2,1,0,no,yes,no,yes,no,yes,yes,no,5,4,2,1,2,5,3.0,7,9,8
11,GP,F,16,U,GT3,A,1,1,at_home,services,reputation,mother,1,2,0,yes,yes,no,yes,yes,yes,no,no,4,3,3,1,2,3,6.0,15,16,16
12,GP,F,15,U,GT3,T,1,2,other,at_home,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,5,4,1,1,1,1,0.0,14,15,17
13,MS,M,19,U,GT3,T,3,3,services,teacher,home,mother,1,1,1,no,no,no,yes,yes,yes,yes,no,3,2,4,1,4,5,1.0,10,10,10
14,MS,F,16,U,GT3,T,3,2,other,services,home,mother,2,2,0,no,no,no,no,no,yes,no,no,5,1,4,1,1,5,3.0,7,0,0
15,MS,F,15,U,LE3,A,1,1,at_home,other,course,mother,1,1,0,no,yes,no,no,yes,yes,no,no,5,4,1,3,2,2,2.0,15,15,15
16,GP,F,17,U,GT3,T,4,4,teacher,teacher,home,father,2,3,0,no,yes,no,no,no,yes,yes,no,5,5,5,2,1,4,3.0,17,17,17
17,GP,F,15,U,LE3,A,1,1,other,other,reputation,mother,2,1,0,no,no,no,yes,no,yes,yes,no,4,4,3,1,1,5,2.0,16,16,16
18,GP,M,15,U,GT3,T,2,2,at_home,at_home,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,5,5,1,1,5,1.0,10,9,10
19,GP,M,17,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,4,2,1,3,5,1.0,14,12,13
