Unnamed: 0,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,GP,F,15,U,LE3,T,4,3,teacher,other,reputation,father,1,2,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,3,1,1.0,15,15,15
1,GP,M,15,U,GT3,A,4,4,other,services,course,mother,2,1,0,yes,no,no,yes,yes,yes,yes,no,4,3,4,1,4,3,4.0,13,14,15
2,GP,M,16,R,GT3,T,2,2,at_home,other,course,mother,1,3,0,no,no,no,yes,yes,yes,yes,yes,4,3,3,2,1,5,1.0,14,14,15
3,MS,M,19,R,GT3,T,4,4,other,services,reputation,father,1,1,3,no,no,no,yes,yes,no,yes,no,3,3,5,2,4,5,2.0,8,10,9
4,GP,M,15,U,GT3,T,3,3,other,other,course,mother,2,2,1,no,no,no,no,yes,yes,yes,no,4,4,3,1,3,2,1.0,13,14,14
5,MS,F,17,U,GT3,T,4,4,teacher,teacher,home,father,1,2,0,no,yes,no,yes,yes,yes,yes,yes,5,4,2,1,4,5,2.0,9,9,8
6,MS,F,16,R,GT3,T,3,3,at_home,services,other,mother,2,2,0,no,no,no,no,yes,yes,yes,no,5,4,3,1,3,3,3.0,11,13,14
7,MS,F,16,U,GT3,T,3,3,other,services,course,mother,3,2,0,no,no,no,yes,yes,yes,yes,yes,4,4,4,2,1,1,0.0,16,16,16
8,MS,M,17,R,GT3,T,3,4,services,services,home,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,4,3,2,4,1,6.0,10,11,11
9,GP,F,17,U,GT3,T,2,2,services,services,home,mother,1,3,0,yes,no,no,no,yes,yes,yes,no,3,4,3,5,1,5,6.0,12,10,11
10,MS,F,17,U,GT3,T,4,4,other,teacher,other,mother,2,1,1,no,yes,no,yes,no,no,yes,yes,5,4,2,1,2,5,3.0,6,7,7
