Unnamed: 0,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,GP,F,15,U,GT3,T,4,3,teacher,other,reputation,father,1,2,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,3,1,1.0,15,15,15
1,GP,M,15,U,LE3,T,4,4,other,services,course,mother,1,1,0,yes,no,no,yes,yes,yes,yes,no,4,3,4,1,4,3,4.0,16,17,18
2,GP,M,16,R,GT3,T,2,2,at_home,other,course,mother,1,3,0,yes,no,no,yes,yes,yes,no,yes,4,3,3,2,1,5,1.0,15,14,14
3,GP,M,17,U,GT3,T,4,4,other,services,course,mother,1,1,1,yes,no,no,yes,yes,yes,yes,no,3,3,5,2,4,5,2.0,9,10,11
4,GP,M,17,U,GT3,T,3,3,other,other,home,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,4,4,3,1,3,2,1.0,10,12,14
5,GP,F,16,U,GT3,T,4,4,teacher,teacher,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,1,4,5,2.0,12,12,13
6,MS,F,16,U,GT3,T,3,3,at_home,services,reputation,father,1,2,0,no,no,no,no,yes,yes,no,yes,5,4,3,1,3,3,3.0,10,10,10
7,GP,F,17,U,GT3,A,3,3,other,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,4,4,2,1,1,0.0,15,15,17
8,GP,M,17,U,GT3,T,3,4,services,services,home,father,1,1,0,yes,no,no,yes,yes,yes,yes,yes,4,4,3,2,4,1,6.0,12,13,13
9,GP,F,18,U,GT3,T,2,2,services,services,reputation,mother,1,3,0,yes,no,no,no,yes,yes,yes,no,3,4,3,5,1,5,6.0,14,12,12
10,MS,F,16,U,GT3,A,4,4,other,teacher,course,mother,2,1,0,no,yes,no,yes,no,yes,no,no,5,4,2,1,2,5,3.0,5,5,7
11,GP,F,15,U,GT3,T,1,1,at_home,services,reputation,mother,1,2,0,yes,yes,no,yes,yes,no,yes,no,4,3,3,1,2,3,6.0,17,17,17
12,MS,F,16,R,GT3,T,1,2,other,at_home,reputation,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,5,4,1,1,1,1,0.0,5,0,0
13,GP,M,15,U,GT3,T,3,3,services,teacher,home,mother,2,1,0,yes,no,no,yes,yes,yes,yes,no,3,2,4,1,4,5,1.0,10,9,11
14,MS,F,17,R,GT3,A,3,2,other,services,other,father,2,2,0,no,no,no,no,no,yes,yes,no,5,1,4,1,1,5,3.0,10,11,11
15,MS,F,15,R,GT3,A,1,1,at_home,other,reputation,mother,2,1,0,no,yes,no,no,no,yes,yes,no,5,4,1,3,2,2,2.0,11,12,14
16,MS,F,15,U,GT3,T,4,4,teacher,teacher,course,mother,2,3,0,no,yes,no,no,yes,yes,yes,yes,5,5,5,2,1,4,3.0,11,10,11
17,GP,F,17,U,LE3,T,1,1,other,other,reputation,father,1,1,0,no,no,no,yes,yes,yes,yes,no,4,4,3,1,1,5,2.0,16,17,18
18,GP,M,18,U,GT3,T,2,2,at_home,at_home,home,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,no,4,5,5,1,1,5,1.0,10,10,10
19,GP,M,17,U,GT3,T,4,4,teacher,teacher,reputation,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,4,2,1,3,5,1.0,10,13,13
20,MS,F,18,R,GT3,T,2,2,services,services,course,mother,3,1,0,no,yes,no,yes,no,yes,yes,no,4,2,4,4,2,4,2.0,6,8,7
21,GP,F,18,U,LE3,A,2,1,at_home,other,course,mother,1,2,0,yes,yes,no,yes,yes,no,yes,yes,5,2,3,5,3,1,4.0,10,9,9
22,GP,F,15,U,LE3,A,2,2,other,services,course,mother,2,1,0,yes,no,no,no,no,yes,yes,no,5,2,4,2,2,3,1.0,13,13,13
23,GP,M,18,U,LE3,T,3,1,services,other,home,mother,1,4,0,yes,no,no,yes,yes,yes,yes,no,5,4,3,2,1,5,6.0,7,8,7
24,GP,M,19,U,GT3,T,2,2,other,other,home,other,2,2,1,yes,no,no,no,yes,no,yes,yes,3,3,2,1,5,1,2.0,9,10,11
25,MS,F,17,R,GT3,T,2,2,other,services,other,father,2,2,0,no,yes,no,yes,no,yes,yes,yes,3,5,4,1,5,5,5.0,14,15,16
26,MS,F,16,U,GT3,T,4,4,teacher,teacher,other,mother,2,1,0,no,no,no,no,no,no,yes,no,4,1,2,2,1,5,1.0,10,9,10
27,GP,M,18,U,GT3,T,4,4,teacher,health,course,father,1,1,0,yes,no,no,yes,yes,yes,yes,yes,3,4,2,1,1,5,3.0,10,11,11
28,GP,M,17,U,GT3,T,1,1,at_home,other,home,mother,1,1,0,yes,no,no,yes,yes,yes,yes,no,4,5,4,1,3,1,1.0,12,12,15
29,GP,F,16,R,GT3,T,2,2,other,other,course,mother,1,2,0,no,yes,no,no,yes,no,yes,yes,4,5,4,1,1,5,10.0,8,9,11
30,GP,M,15,U,GT3,T,1,1,other,services,reputation,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,5,2,4,1,2,5,1.0,16,16,17
31,GP,F,17,U,GT3,T,1,2,at_home,services,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,1,5,1,3,2,13.0,14,14,15
32,GP,F,15,U,GT3,T,4,4,teacher,other,home,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,4,5,3,2,5,5,8.0,13,14,15
33,MS,M,16,R,GT3,T,2,1,other,other,course,other,1,3,0,yes,yes,no,yes,yes,yes,no,no,2,4,5,1,2,4,1.0,15,14,17
